id,income_date,name,nif,base,iva,principal_id
868,2015-11-16,Marilyn Fields,427-99-7443,159.41,21,4
869,2016-03-14,Jeremy Hunter,665-40-0214,155.87,21,5
870,2015-11-23,Randy Bailey,755-23-1291,77.08,21,6
871,2015-11-12,Gary Willis,136-28-2682,93.49,21,3
872,2016-08-03,Eric Fox,522-59-4100,130.06,21,6
873,2016-05-14,Jesse Richardson,361-53-6114,205.69,21,3
874,2016-04-17,Kathy Chapman,379-69-1026,214.45,21,5
875,2016-06-18,Louise Andrews,910-95-2719,76.16,21,3
876,2016-08-30,Dorothy Williams,552-38-0994,207.28,21,3
877,2015-12-13,Betty Richards,826-01-4296,211.94,21,3
878,2016-08-21,Kevin Scott,963-78-6990,110.76,21,5
879,2015-11-24,Linda Thomas,824-50-0669,215.38,21,6
880,2016-08-12,Bobby Black,618-39-6418,149.95,21,6
881,2016-04-02,Patricia Taylor,792-54-6174,210.23,21,4
882,2016-07-13,Susan Carter,310-17-6834,116.79,21,6
883,2016-10-04,Lisa Reed,320-38-4443,196.79,21,4
884,2016-02-09,Sharon Schmidt,256-86-9523,199.09,21,5
885,2015-12-17,Louis Bell,796-84-6330,27.47,21,3
886,2016-07-02,Gary Long,876-24-4481,106.75,21,5
887,2016-05-06,Julia Miller,496-13-8567,99.71,21,4
888,2016-05-08,Terry Stanley,722-46-3801,131.06,21,4
889,2015-12-28,Sandra Martinez,804-20-0426,211.16,21,4
890,2016-07-19,Richard Johnston,879-37-1508,155.6,21,3
891,2016-10-05,Cheryl Cooper,886-89-2793,106.58,21,5
892,2016-07-05,Sarah Porter,804-35-9007,96.6,21,6
893,2016-07-29,Cheryl Palmer,130-22-3361,177.75,21,4
894,2016-06-16,Cheryl Schmidt,714-50-7832,55.52,21,5
895,2016-03-16,Bruce Wood,135-80-2255,193.48,21,5
896,2016-10-10,Jesse King,962-68-7776,137.94,21,5
897,2016-07-22,Wayne Hernandez,419-67-5312,43.53,21,5
898,2016-07-28,Pamela Webb,264-20-6193,228.65,21,5
899,2016-06-12,Sean Allen,243-91-0116,211.68,21,4
900,2015-10-29,Cynthia Andrews,663-17-7788,128.56,21,4
901,2016-09-04,Brian Martinez,716-12-4221,213.48,21,5
902,2016-05-03,Bruce Wallace,183-14-5482,82.14,21,4
903,2015-12-15,Marilyn Ellis,118-57-2828,81.12,21,3
904,2016-06-15,Martin Cooper,135-26-2997,188.63,21,4
905,2015-11-17,Sandra Chavez,704-84-3513,97.81,21,4
906,2016-10-05,Nicholas Parker,722-02-6232,118.9,21,4
907,2016-02-27,Ronald Gilbert,487-12-6352,83.53,21,6
908,2016-08-29,Ruth Chavez,690-58-9530,158.18,21,4
909,2016-03-19,Robert Gilbert,324-40-2586,163.61,21,6
910,2016-05-22,Stephen Olson,287-04-9068,116.94,21,4
911,2016-07-23,Louise Washington,314-35-2329,44.99,21,5
912,2015-11-19,Patrick Harrison,588-36-8030,60.64,21,5
913,2016-06-14,Randy Ferguson,616-17-7371,134.13,21,4
914,2016-01-10,Russell Nichols,278-04-0949,164.32,21,4
915,2016-06-16,Sharon Wagner,847-05-8707,28.67,21,3
916,2016-09-30,Jonathan Duncan,879-39-0131,209.53,21,3
917,2015-12-16,Mary Evans,597-66-7664,218.96,21,5
918,2016-05-24,Cynthia Romero,203-76-2183,211.17,21,3
919,2016-10-01,Timothy Payne,442-82-5163,67.32,21,4
920,2016-08-10,Ralph Palmer,282-09-9082,121.33,21,4
921,2016-10-23,Jimmy Patterson,394-40-6846,99.97,21,5
922,2016-03-10,Thomas Peters,491-32-1288,121.86,21,5
923,2016-03-29,Dorothy Hunter,364-69-2100,28.61,21,3
924,2015-11-08,Alan Price,239-51-9038,131.84,21,3
925,2016-07-08,Elizabeth Cunningham,894-21-1091,206.83,21,5
926,2015-11-29,Amy Lynch,411-61-5252,58.47,21,5
927,2016-10-09,Richard Castillo,987-44-7456,205.15,21,3
928,2016-10-22,Andrea Hawkins,458-68-3794,127.9,21,5
929,2016-01-09,Michael Bailey,878-53-4498,188.84,21,4
930,2016-03-23,Scott Perez,396-42-8943,225.9,21,4
931,2015-10-30,Maria Gray,459-51-9144,120.87,21,3
932,2016-08-06,Charles Moore,719-65-9771,35.45,21,3
933,2016-02-10,Kenneth Williams,159-64-4878,74.59,21,5
934,2015-12-20,Julie Watson,938-92-7748,29.69,21,3
935,2016-01-23,Janice Simpson,564-44-2423,171.89,21,6
936,2015-12-27,Kelly Cooper,101-56-8302,155.61,21,4
937,2016-03-23,Earl Gardner,945-83-1620,44.41,21,6
938,2016-09-13,Harry Day,994-74-5685,205.37,21,5
939,2015-11-09,Dennis Montgomery,856-43-6705,86.99,21,3
940,2016-07-19,Gary Morris,710-56-5236,73.1,21,5
941,2016-07-12,Marie Frazier,174-10-5886,197.87,21,6
942,2016-02-09,Ronald Snyder,280-23-1782,189.11,21,5
943,2016-07-02,Adam Roberts,406-93-7636,201.63,21,4
944,2016-07-08,Pamela Bell,238-57-9910,70.62,21,3
945,2016-06-20,Gloria Frazier,805-19-9693,95.89,21,3
946,2016-01-12,Doris Brooks,992-90-4372,61.43,21,5
947,2016-02-23,Ruby Flores,647-18-4541,162.42,21,4
948,2016-02-20,Phyllis King,371-69-6189,62.91,21,4
949,2016-01-05,Robin Hanson,447-77-9660,102.22,21,4
950,2016-08-05,Howard Adams,900-17-0143,150.54,21,4
951,2016-01-24,Judith Murphy,113-96-5702,157.11,21,5
952,2016-05-22,Mildred Edwards,987-43-5917,86.61,21,3
953,2015-12-19,Carlos Shaw,826-21-4575,112.43,21,4
954,2016-04-07,Doris Murphy,956-80-4362,146.24,21,5
955,2015-11-20,David Bailey,286-67-6651,98.76,21,5
956,2016-06-14,Andrew Medina,171-78-2980,53.85,21,6
957,2015-10-28,Thomas Gutierrez,744-39-6618,195.08,21,5
958,2016-09-06,Kevin Ruiz,466-26-8667,191.06,21,6
959,2016-05-05,Donna Chavez,148-64-7314,76.58,21,6
960,2016-04-27,Peter Frazier,855-95-2456,158.55,21,3
961,2015-11-11,Johnny Chavez,289-50-6624,183.54,21,4
962,2016-08-13,Cynthia Williamson,961-84-8622,68.58,21,4
963,2016-09-16,Donald Morales,910-50-8249,119.86,21,4
964,2015-12-02,Alan Walker,897-82-8166,133.04,21,4
965,2016-09-12,Jonathan Brown,717-39-1147,101.71,21,4
966,2016-02-01,Julia Lawson,552-59-4073,225.36,21,6
967,2015-12-14,Jesse Stone,870-58-5585,210.72,21,5
968,2016-04-02,Nicholas Lawrence,672-87-7023,150.85,21,5
969,2016-02-25,Nancy Baker,899-34-5638,139.57,21,4
970,2016-08-10,Virginia Flores,545-66-5985,75.08,21,3
971,2016-04-09,Jesse Rice,494-77-1805,103.26,21,3
972,2016-03-28,Margaret Gibson,842-66-1900,106.23,21,4
973,2016-04-02,Kathy Grant,218-24-4409,119.59,21,3
974,2015-11-04,Annie King,633-52-4589,141.68,21,5
975,2016-07-06,Thomas Murray,628-19-9198,94.23,21,5
976,2016-07-29,Fred Butler,671-40-1388,214.44,21,6
977,2016-07-11,Emily Gutierrez,217-31-8406,213.13,21,5
978,2016-03-22,Bobby Wilson,614-98-9683,53.71,21,6
979,2016-06-16,Kimberly Ortiz,634-97-9844,174.41,21,5
980,2016-04-24,Kimberly Anderson,871-46-0468,171.96,21,3
981,2016-05-12,Eugene Bowman,604-52-1491,152.43,21,6
982,2015-11-29,Rose Foster,107-77-8602,117.62,21,3
983,2016-09-28,Terry Smith,843-07-1535,114.73,21,6
984,2016-01-04,Frances Russell,277-24-4568,143.49,21,3
985,2016-10-09,Christopher Hayes,382-25-2479,199.99,21,6
986,2016-09-12,Aaron Cox,599-52-0631,219.09,21,6
987,2015-10-28,Jeffrey Watson,684-64-4504,148.96,21,6
988,2015-10-27,Frank Robertson,169-58-4389,99.56,21,3
989,2016-06-17,Kenneth Long,171-65-3738,86.13,21,6
990,2016-05-07,Mary Long,167-60-5749,124.42,21,6
991,2016-09-14,Anthony Adams,445-36-5183,216.08,21,5
992,2016-05-16,Gregory Jordan,755-90-8996,83.38,21,5
993,2016-06-26,Carl Smith,760-35-7283,194.63,21,6
994,2016-03-11,Gary Gomez,359-18-4871,175.78,21,5
995,2016-09-03,James Ross,446-88-3177,77.34,21,4
996,2016-06-25,Patricia Ryan,630-68-2778,107.77,21,3
997,2016-08-01,Craig Green,888-67-2381,82.1,21,4
998,2016-02-07,Jonathan Reyes,592-97-9246,111.99,21,4
999,2015-11-04,Cheryl Sanchez,436-59-4678,215.39,21,3
1000,2016-06-15,Jacqueline Wood,599-56-2915,190.32,21,6
